NR_ZONA;NR_SECAO;DS_GENERO;DS_FAIXA_ETARIA;DS_GRAU_ESCOLARIDADE;DS_TIPO_DEFICIENCIA;;;;;;
127;540;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;120;MASCULINO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;156;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;235;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;164;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;541;FEMININO;80 a 84 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;641;MASCULINO;70 a 74 anos                  ;SUPERIOR COMPLETO;DEFICENCIA AUDITIVA;;;;;;
282;49;FEMININO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;117;FEMININO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;209;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;320;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;511;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;195;MASCULINO;80 a 84 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;325;MASCULINO;70 a 74 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;281;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;323;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;200;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
282;62;FEMININO;55 a 59 anos                  ;ANALFABETO;OUTROS;;;;;;
412;123;MASCULINO;50 a 54 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;197;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
411;94;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;537;FEMININO;70 a 74 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;1;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;15;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;195;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;102;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;729;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;533;MASCULINO;55 a 59 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;120;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
282;106;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;189;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;386;MASCULINO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;3;FEMININO;80 a 84 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
127;533;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;6;MASCULINO;25 a 29 anos                  ;ANALFABETO;OUTROS;;;;;;
412;365;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;109;FEMININO;70 a 74 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;3;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;435;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;174;FEMININO;60 a 64 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;235;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;533;FEMININO;55 a 59 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
412;176;FEMININO;40 a 44 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
412;311;FEMININO;55 a 59 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;309;MASCULINO;65 a 69 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
127;286;FEMININO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;3;FEMININO;65 a 69 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
282;116;MASCULINO;50 a 54 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;524;FEMININO;60 a 64 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
282;68;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;289;FEMININO;55 a 59 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
282;252;MASCULINO;65 a 69 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
411;102;MASCULINO;60 a 64 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
127;614;FEMININO;70 a 74 anos                  ;SUPERIOR INCOMPLETO;OUTROS;;;;;;
411;199;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
282;199;FEMININO;60 a 64 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;731;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
412;224;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;170;MASCULINO;21 a 24 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;195;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;26;FEMININO;70 a 74 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;41;MASCULINO;21 a 24 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;321;FEMININO;20 anos                       ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;MASCULINO;25 a 29 anos                  ;ANALFABETO;OUTROS;;;;;;
412;456;FEMININO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;404;MASCULINO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;170;FEMININO;60 a 64 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
411;254;MASCULINO;85 a 89 anos                  ;LE E ESCREVE;OUTROS;;;;;;
412;221;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;341;FEMININO;90 a 94 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
412;390;FEMININO;65 a 69 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
412;65;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
412;100;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;FEMININO;90 a 94 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;541;FEMININO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;266;FEMININO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
127;567;MASCULINO;45 a 49 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;168;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;341;FEMININO;45 a 49 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;34;MASCULINO;40 a 44 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
282;66;FEMININO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
411;184;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;183;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;5;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;186;FEMININO;35 a 39 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;3;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;18;FEMININO;25 a 29 anos                  ;ANALFABETO;OUTROS;;;;;;
127;117;FEMININO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;49;FEMININO;50 a 54 anos                  ;LE E ESCREVE;DEFICENCIA AUDITIVA;;;;;;
412;280;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;142;FEMININO;65 a 69 anos                  ;ANALFABETO;DEFICIENCIA VISUAL;;;;;;
411;184;MASCULINO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;196;FEMININO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;4;MASCULINO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;168;MASCULINO;60 a 64 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;254;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;119;MASCULINO;35 a 39 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA VISUAL;;;;;;
282;22;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;580;MASCULINO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;723;FEMININO;60 a 64 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;102;MASCULINO;40 a 44 anos                  ;ANALFABETO;OUTROS;;;;;;
412;264;FEMININO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;319;FEMININO;21 a 24 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
282;33;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
412;3;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;MASCULINO;65 a 69 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
411;319;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;234;FEMININO;60 a 64 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;456;MASCULINO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;487;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;200;FEMININO;30 a 34 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;723;MASCULINO;25 a 29 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
127;440;MASCULINO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;240;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;341;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;OUTROS;;;;;;
412;415;MASCULINO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
127;620;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;102;MASCULINO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;396;FEMININO;45 a 49 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;134;MASCULINO;21 a 24 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;203;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;645;FEMININO;80 a 84 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;321;MASCULINO;55 a 59 anos                  ;ANALFABETO;OUTROS;;;;;;
411;168;FEMININO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;641;FEMININO;80 a 84 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;MASCULINO;80 a 84 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
127;610;MASCULINO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;341;FEMININO;60 a 64 anos                  ;LE E ESCREVE;DEFICIENCIA VISUAL;;;;;;
411;35;FEMININO;55 a 59 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;261;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
412;251;MASCULINO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;24;FEMININO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;42;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;17;FEMININO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;264;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;154;FEMININO;25 a 29 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;3;FEMININO;40 a 44 anos                  ;SUPERIOR INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
127;463;MASCULINO;40 a 44 anos                  ;ANALFABETO;DEFICENCIA AUDITIVA;;;;;;
412;260;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;196;FEMININO;18 anos                       ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
412;183;FEMININO;35 a 39 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;156;MASCULINO;35 a 39 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
412;176;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;564;FEMININO;30 a 34 anos                  ;ANALFABETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;719;MASCULINO;30 a 34 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;117;MASCULINO;80 a 84 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;416;MASCULINO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;641;MASCULINO;55 a 59 anos                  ;ANALFABETO;OUTROS;;;;;;
411;36;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;694;FEMININO;60 a 64 anos                  ;SUPERIOR COMPLETO;OUTROS;;;;;;
411;154;FEMININO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
412;5;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;62;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
411;203;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
412;154;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
412;289;MASCULINO;30 a 34 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
412;325;FEMININO;65 a 69 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;210;FEMININO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;3;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;MASCULINO;50 a 54 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;117;FEMININO;70 a 74 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;329;MASCULINO;70 a 74 anos                  ;LE E ESCREVE;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;39;MASCULINO;75 a 79 anos                  ;LE E ESCREVE;OUTROS;;;;;;
282;19;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;142;MASCULINO;40 a 44 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;375;FEMININO;55 a 59 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;534;MASCULINO;65 a 69 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;166;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;367;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;719;FEMININO;55 a 59 anos                  ;ENSINO MEDIO INCOMPLETO;OUTROS;;;;;;
411;130;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
412;428;MASCULINO;45 a 49 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;126;FEMININO;30 a 34 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
127;527;FEMININO;65 a 69 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
282;220;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;5;FEMININO;45 a 49 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;228;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;704;FEMININO;25 a 29 anos                  ;ANALFABETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;533;MASCULINO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;125;FEMININO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;141;FEMININO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;341;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;325;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;540;FEMININO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;202;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;169;FEMININO;30 a 34 anos                  ;ANALFABETO;OUTROS;;;;;;
411;254;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;435;FEMININO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;196;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;174;MASCULINO;70 a 74 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;27;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;158;MASCULINO;70 a 74 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;242;MASCULINO;30 a 34 anos                  ;SUPERIOR COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;197;MASCULINO;45 a 49 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;238;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;575;MASCULINO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
282;111;MASCULINO;40 a 44 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;485;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA VISUAL;;;;;;
127;263;MASCULINO;50 a 54 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;342;MASCULINO;60 a 64 anos                  ;SUPERIOR INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;4;MASCULINO;70 a 74 anos                  ;ANALFABETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;281;FEMININO;55 a 59 anos                  ;ANALFABETO;OUTROS;;;;;;
411;174;MASCULINO;75 a 79 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;25;FEMININO;50 a 54 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
411;170;MASCULINO;75 a 79 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
411;35;MASCULINO;65 a 69 anos                  ;ENSINO FUNDAMENTAL COMPLETO;OUTROS;;;;;;
127;18;FEMININO;60 a 64 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DEFICENCIA AUDITIVA;;;;;;
412;6;MASCULINO;21 a 24 anos                  ;ANALFABETO;OUTROS;;;;;;
282;198;MASCULINO;21 a 24 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA VISUAL;;;;;;
411;184;MASCULINO;40 a 44 anos                  ;ANALFABETO;OUTROS;;;;;;
282;32;FEMININO;70 a 74 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;288;FEMININO;55 a 59 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
282;257;MASCULINO;21 a 24 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
127;541;FEMININO;21 a 24 anos                  ;ENSINO MEDIO INCOMPLETO;DEFICENCIA AUDITIVA;;;;;;
411;200;MASCULINO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
412;197;MASCULINO;80 a 84 anos                  ;ENSINO FUNDAMENTAL INCOMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
127;493;FEMININO;80 a 84 anos                  ;ENSINO MEDIO COMPLETO;OUTROS;;;;;;
411;158;MASCULINO;55 a 59 anos                  ;ENSINO FUNDAMENTAL COMPLETO;DIFICULDADE PARA O EXERCICIO DO VOTO;;;;;;
411;170;FEMININO;60 a 64 anos                  ;ENSINO MEDIO COMPLETO;DEFICIENCIA DE LOCOMOCAO;;;;;;
